amount,transaction_hour,is_high_risk_merchant,amount_log,merchant_category,location,day_of_week,risk_score,rapid_transaction_flag,user_transaction_count,minutes_since_last_transaction,amount_category,risk_level
3288.84,17,0,8.098594210357987,4,1,3,0,0,1,999999.0,1,1
176.92,7,0,5.1813340110622175,4,4,1,0,0,1,999999.0,0,1
2769.3,2,0,7.926710896566108,7,0,2,0,0,1,999999.0,1,1
4868.17,4,0,8.490678770340088,5,5,0,0,0,1,999999.0,1,1
3655.79,7,1,8.204340992382424,1,5,4,25,0,1,999999.0,1,1
4833.4,5,1,8.483512305047348,0,4,0,25,0,1,999999.0,1,1
3095.64,3,0,8.038072931692577,2,1,4,0,0,1,999999.0,1,1
159926.17,23,1,11.982473803086686,3,7,1,85,0,1,999999.0,2,0
1225.87,8,1,7.1122214896276175,3,1,4,25,0,1,999999.0,1,1
1188.24,12,0,7.081069726616117,7,0,4,0,0,1,999999.0,1,1
126481.36,8,1,11.74785813078581,0,7,5,85,0,1,999999.0,2,0
3741.78,22,1,8.227583929794449,0,3,1,25,0,1,999999.0,1,1
192261.5,17,1,12.166616904760064,3,7,5,85,0,1,999999.0,2,0
144806.15,6,1,11.883158136167715,0,7,1,85,0,1,999999.0,2,0
1747.17,23,1,7.466324805491193,0,3,3,25,0,1,999999.0,1,1
4585.34,19,0,8.430837599352662,7,5,0,0,0,1,999999.0,1,1
125711.59,20,1,11.74175354867174,0,7,4,85,0,1,999999.0,2,0
121369.6,7,1,11.7066039536492,0,7,1,85,0,1,999999.0,2,0
164812.12,3,1,12.012567504939154,3,7,6,85,0,1,999999.0,2,0
2960.77,7,0,7.9935423415764815,4,7,6,20,0,1,999999.0,1,1
4712.86,4,1,8.458262384285437,3,2,4,25,0,1,999999.0,1,1
2206.29,3,0,7.699520797715121,6,0,0,0,0,1,999999.0,1,1
145.63,17,1,4.987912406988988,3,1,1,25,0,1,999999.0,0,1
3281.38,15,0,8.096324048006805,4,1,5,0,0,2,11427.00004505,1,1
187136.67,4,1,12.13959982818063,1,7,3,85,0,3,56917.00012826666,2,0
2835.69,5,0,7.9503931584824015,2,5,5,0,0,1,999999.0,1,1
951.62,10,0,6.859216083317476,7,1,2,0,0,1,999999.0,0,1
3904.6,11,0,8.270166699638695,6,5,3,0,0,1,999999.0,1,1
156628.95,22,1,11.96164129584901,0,7,0,85,0,1,999999.0,2,0
187174.37,8,1,12.139801263856649,0,7,0,85,0,1,999999.0,2,0
150869.6,0,1,11.924177794759997,1,7,4,85,0,1,999999.0,2,0
333.12,18,0,5.811500209887705,2,3,6,0,0,1,999999.0,0,1
1994.52,1,0,7.598659946989303,2,2,5,0,0,1,999999.0,1,1
3345.05,16,0,8.1155358246509,5,2,0,0,0,1,999999.0,1,1
87488.24,4,1,11.379271093355529,3,7,1,45,0,1,999999.0,2,2
4317.25,19,0,8.370605506573394,7,5,4,0,0,1,999999.0,1,1
196440.68,2,1,12.1881208723463,0,7,1,85,0,2,45040.00006983333,2,0
493.44,9,0,6.203425809019622,4,0,5,0,0,1,999999.0,0,1
2636.44,7,0,7.877564028710398,4,5,0,0,0,1,999999.0,1,1
4359.0,12,1,8.38022733634308,0,7,2,45,0,1,999999.0,1,2
83517.06,2,1,11.332818174877344,3,7,6,45,0,1,999999.0,2,2
126388.04,2,1,11.747120048074704,3,7,0,85,0,1,999999.0,2,0
2638.93,3,0,7.8785076806373135,7,7,3,20,0,1,999999.0,1,1
4473.86,17,0,8.40623034530337,4,4,5,0,0,1,999999.0,1,1
4884.53,15,0,8.494033053985747,5,4,0,0,0,1,999999.0,1,1
4678.22,2,0,8.450886708354593,7,1,0,0,0,1,999999.0,1,1
3037.6,17,1,8.019152162009666,1,0,4,25,0,1,999999.0,1,1
1348.2,18,0,7.207267103187495,5,7,1,20,0,1,999999.0,1,1
161993.8,9,1,11.995319514933913,3,7,0,85,0,2,15302.00014085,2,0
123599.55,20,1,11.724810273834017,3,7,6,85,0,1,999999.0,2,0
1697.28,4,1,7.437371253159016,0,4,4,25,0,1,999999.0,1,1
3308.11,10,0,8.104434550040589,4,2,1,0,0,1,999999.0,1,1
3882.73,9,1,8.264551311031944,0,7,4,45,0,1,999999.0,1,2
2608.39,18,0,7.866871756525692,2,5,2,0,0,1,999999.0,1,1
121010.97,2,1,11.703644745305896,0,7,1,85,0,1,999999.0,2,0
4374.71,2,0,8.383824071339099,2,0,4,0,0,1,999999.0,1,1
4763.42,3,0,8.468931087798287,7,5,6,0,0,1,999999.0,1,1
3616.87,3,0,8.19364073385585,4,3,3,0,0,1,999999.0,1,1
97012.59,15,1,11.48260635076478,3,7,3,45,0,1,999999.0,2,2
131043.55,17,1,11.783292620706316,3,7,5,85,0,2,13062.00003865,2,0
2018.99,16,0,7.610847839887947,6,2,6,0,0,1,999999.0,1,1
4708.39,4,0,8.45731366694582,5,2,3,0,0,2,25190.99996808333,1,1
3176.53,3,0,8.063859444403777,7,2,3,0,0,1,999999.0,1,1
2647.27,9,1,7.881661875605173,3,6,0,25,0,1,999999.0,1,1
630.73,17,0,6.448462087674575,7,6,3,0,0,1,999999.0,0,1
2454.31,15,0,7.806008305169291,5,4,0,0,0,1,999999.0,1,1
3906.01,8,0,8.27052765456037,4,0,3,0,0,1,999999.0,1,1
162916.52,15,1,12.000999339451548,3,7,0,85,0,1,999999.0,2,0
4914.23,6,0,8.500093827010296,7,4,6,0,0,1,999999.0,1,1
371.7,20,0,5.9207738064852125,4,1,1,0,0,1,999999.0,0,1
3905.13,17,0,8.270302393012843,5,3,4,0,0,1,999999.0,1,1
2493.48,13,1,7.821835569630145,0,2,0,25,0,1,999999.0,1,1
4511.67,23,1,8.414644275061717,1,6,4,25,0,1,999999.0,1,1
67499.7,19,1,11.11989324717722,1,7,6,45,0,1,999999.0,2,2
191793.09,21,1,12.164177627609496,0,7,3,85,0,1,999999.0,2,0
1981.84,16,0,7.592285439434968,4,0,3,0,0,1,999999.0,1,1
2523.35,15,0,7.833738882827192,7,1,3,0,0,1,999999.0,1,1
4331.91,6,1,8.373994650695668,0,7,1,45,0,1,999999.0,1,2
180917.24,22,1,12.105800495487864,3,7,0,85,0,1,999999.0,2,0
1368.08,5,0,7.221894260396279,5,4,1,0,0,1,999999.0,1,1
150539.55,18,1,11.921987762095863,0,7,6,85,0,1,999999.0,2,0
4219.24,9,1,8.34764727745082,0,1,1,25,0,1,999999.0,1,1
4717.93,10,1,8.45933735796517,1,3,5,25,0,1,999999.0,1,1
133932.97,0,1,11.805102196292324,1,7,0,85,0,1,999999.0,2,0
4188.29,14,0,8.340286547483743,5,7,5,20,0,1,999999.0,1,1
951.03,16,0,6.858596546899896,2,3,5,0,0,1,999999.0,0,1
4303.03,17,1,8.367307072077551,3,5,1,25,0,1,999999.0,1,1
4681.05,21,0,8.451491327190759,7,3,0,0,0,1,999999.0,1,1
179523.21,16,1,12.098065352467511,3,7,6,85,0,1,999999.0,2,0
197459.63,12,1,12.193294501679947,0,7,2,85,0,1,999999.0,2,0
3132.69,6,0,8.049966502899101,4,3,6,0,0,1,999999.0,1,1
56.7,11,0,4.055257173514054,6,5,4,0,0,1,999999.0,0,1
1738.38,1,1,7.461284006871784,0,3,2,25,0,1,999999.0,1,1
1873.2,20,0,7.535937180689723,5,4,3,0,0,1,999999.0,1,1
4248.16,22,1,8.354476595324885,0,6,2,25,0,1,999999.0,1,1
1595.62,0,1,7.375644173752306,3,2,4,25,0,1,999999.0,1,1
2893.0,0,1,7.970394907191429,1,7,6,45,0,1,999999.0,1,2
1328.19,10,1,7.19232501312984,3,3,3,25,0,1,999999.0,1,1
54403.85,1,1,10.90420858328178,0,7,0,45,0,1,999999.0,2,2
4623.66,7,0,8.43915813373076,4,5,1,0,0,1,999999.0,1,1
4914.24,3,0,8.500095861501018,7,2,4,0,0,1,999999.0,1,1
4600.93,22,1,8.434231059701704,1,3,0,25,0,1,999999.0,1,1
121122.62,13,1,11.70456695593931,1,7,2,85,0,1,999999.0,2,0
793.72,21,0,6.67798985135904,7,1,1,0,0,1,999999.0,0,1
3697.32,5,0,8.215633941464505,5,3,3,0,0,1,999999.0,1,1
541.76,14,1,6.296667233277752,3,4,4,25,0,1,999999.0,0,1
94.36,3,1,4.55765920331704,3,6,2,25,0,1,999999.0,0,1
1559.8,19,0,7.352953789308901,7,3,2,0,0,1,999999.0,1,1
3806.48,12,1,8.244722831964976,1,3,3,25,0,1,999999.0,1,1
3846.25,15,0,8.255113886343961,7,1,1,0,0,1,999999.0,1,1
1555.12,17,0,7.349950822587301,2,2,2,0,0,1,999999.0,1,1
3153.88,14,0,8.056705739386677,6,0,5,0,0,1,999999.0,1,1
122573.48,17,1,11.716474124209803,1,7,0,85,0,1,999999.0,2,0
4150.94,22,0,8.331330973874257,5,3,0,0,0,1,999999.0,1,1
2764.58,5,0,7.925005656877476,5,3,2,0,0,1,999999.0,1,1
3449.06,18,1,8.146146901178525,3,4,0,25,0,1,999999.0,1,1
3439.98,8,0,8.143511593516711,6,1,4,0,0,1,999999.0,1,1
4030.03,12,0,8.301777205411476,5,1,6,0,0,1,999999.0,1,1
2987.75,6,0,8.002610518772535,4,5,2,0,0,1,999999.0,1,1
198798.32,10,1,12.200051152675622,1,7,2,85,0,1,999999.0,2,0
1286.29,11,1,7.160294512438415,3,3,5,25,0,1,999999.0,1,1
2233.86,17,0,7.711933865264685,5,1,5,0,0,1,999999.0,1,1
2343.22,15,1,7.759708002947933,3,4,1,25,0,1,999999.0,1,1
133466.0,9,1,11.801609535254473,1,7,1,85,0,1,999999.0,2,0
4664.46,18,0,8.447941715065358,6,0,4,0,0,1,999999.0,1,1
123309.93,9,1,11.722464330803534,3,7,3,85,0,1,999999.0,2,0
4939.32,17,1,8.505185385411943,3,6,6,25,0,1,999999.0,1,1
1526.06,7,0,7.331099597177538,4,6,0,0,0,1,999999.0,1,1
3300.12,2,0,8.102017083812871,4,6,5,0,0,1,999999.0,1,1
2343.03,10,1,7.759626949249814,0,6,6,25,0,1,999999.0,1,1
2821.53,0,0,7.945388924842442,5,4,3,0,0,1,999999.0,1,1
224.31,14,0,5.417477231717294,2,3,6,0,0,1,999999.0,0,1
68861.17,1,1,11.139862249611204,3,7,3,45,0,1,999999.0,2,2
1068.6,20,1,6.975040025787734,3,3,0,25,0,1,999999.0,1,1
4555.19,10,0,8.42424202694598,4,1,5,0,0,1,999999.0,1,1
4478.23,5,0,8.40720643563683,5,5,2,0,0,1,999999.0,1,1
182157.53,16,1,12.112632630876336,1,7,4,85,0,1,999999.0,2,0
2488.76,16,1,7.8199415992712,0,1,5,25,0,1,999999.0,1,1
4097.49,2,0,8.318373892173065,5,1,6,0,0,1,999999.0,1,1
59745.27,19,1,10.997862041066885,3,7,6,45,0,1,999999.0,2,2
56516.25,17,1,10.942301180271512,0,7,5,45,0,1,999999.0,2,2
1305.86,8,0,7.175382592355192,2,7,3,20,0,1,999999.0,1,1
196441.14,14,1,12.18812321400547,1,7,2,85,0,1,999999.0,2,0
51022.08,9,1,10.840033358356647,3,7,5,45,0,1,999999.0,2,2
98126.31,3,1,11.494020996208889,1,7,0,45,0,1,999999.0,2,2
533.47,11,1,6.281275601668206,1,5,6,25,0,1,999999.0,0,1
2900.69,3,1,7.973048604857391,0,6,1,25,0,1,999999.0,1,1
99.15,17,0,4.606669062111827,5,0,1,0,0,1,999999.0,0,1
310.02,7,0,5.739857218793191,5,0,5,0,0,1,999999.0,0,1
232.36,15,0,5.452582325559466,7,4,4,0,0,1,999999.0,0,1
4695.42,2,1,8.45455579532803,3,4,2,25,0,1,999999.0,1,1
1141.98,18,0,7.041394165828949,4,5,0,0,0,1,999999.0,1,1
2460.82,6,1,7.808656192780005,1,7,3,45,0,1,999999.0,1,2
144749.41,8,1,11.882766227901003,3,7,1,85,0,1,999999.0,2,0
140486.7,17,1,11.85287521943971,0,7,4,85,0,1,999999.0,2,0
4224.36,1,0,8.348859743261947,2,2,3,0,0,1,999999.0,1,1
575.36,21,0,6.3567324654647335,4,5,1,0,0,1,999999.0,0,1
1855.4,5,1,7.526394407367021,1,4,4,25,0,1,999999.0,1,1
147999.96,4,1,11.904974039211702,1,7,4,85,0,1,999999.0,2,0
78104.89,4,1,11.265820749117289,0,7,3,45,0,1,999999.0,2,2
560.34,16,1,6.330326782548198,1,3,3,25,0,1,999999.0,0,1
1295.18,14,0,7.16717675615694,7,3,4,0,0,1,999999.0,1,1
145965.4,7,1,11.891131737218592,1,7,6,85,0,1,999999.0,2,0
2826.27,19,1,7.947066860738264,3,6,6,25,0,1,999999.0,1,1
159888.85,7,1,11.982240419634053,3,7,0,85,0,1,999999.0,2,0
4875.26,21,0,8.49213381157498,5,3,4,0,0,1,999999.0,1,1
4574.39,8,0,8.428447219978036,5,3,2,0,0,1,999999.0,1,1
401.17,2,1,5.996874884800257,1,1,6,25,0,1,999999.0,0,1
371.74,7,0,5.920881125652519,5,7,3,20,0,1,999999.0,0,1
3895.11,11,1,8.267733898450095,1,7,3,45,0,1,999999.0,1,2
3020.62,13,0,8.013548390386138,5,4,2,0,0,1,999999.0,1,1
4383.2,0,0,8.385762448025227,6,4,1,0,0,1,999999.0,1,1
152110.38,21,1,11.932368294646464,1,7,0,85,0,1,999999.0,2,0
788.94,17,0,6.67195699320968,6,4,1,0,0,1,999999.0,0,1
4613.52,19,0,8.436963132860287,2,5,6,0,0,1,999999.0,1,1
2031.65,19,1,7.617095639436832,0,3,5,25,0,1,999999.0,1,1
854.89,4,0,6.752141863211412,6,3,1,0,0,1,999999.0,0,1
3643.6,23,1,8.201001899051954,0,4,1,25,0,1,999999.0,1,1
71060.02,19,1,11.171294223538984,1,7,1,45,0,1,999999.0,2,2
750.01,9,1,6.621418967254711,3,1,0,25,0,1,999999.0,0,1
1926.15,11,1,7.563797506588841,3,4,5,25,0,1,999999.0,1,1
4815.3,22,1,8.479761277407373,1,1,6,25,0,1,999999.0,1,1
105186.63,10,1,11.563500986820692,3,7,5,85,0,1,999999.0,2,0
1355.08,18,1,7.2123534638102305,3,2,2,25,0,2,36450.99994726667,1,1
3168.18,6,0,8.061228158330293,4,0,4,0,0,1,999999.0,1,1
925.72,20,0,6.831651470317242,5,6,3,0,0,1,999999.0,0,1
83610.38,18,1,11.33393491421062,3,7,4,45,0,1,999999.0,2,2
4810.57,18,0,8.478778713168234,7,3,1,0,0,1,999999.0,1,1
3210.03,8,1,8.074347036929707,1,6,2,25,0,1,999999.0,1,1
1530.56,7,1,7.334042102782599,1,4,2,25,0,1,999999.0,1,1
401.9,19,1,5.998688392197302,0,2,0,25,0,1,999999.0,0,1
3564.02,4,1,8.178924942930836,3,1,4,25,0,1,999999.0,1,1
4711.82,3,0,8.458041733960144,5,2,2,0,0,1,999999.0,1,1
2900.88,16,0,7.973114081796608,4,7,2,20,0,1,999999.0,1,1
151892.9,20,1,11.930937529778827,1,7,1,85,0,1,999999.0,2,0
584.59,12,0,6.3726198859985645,6,3,6,0,0,1,999999.0,0,1
179637.8,22,1,12.098703447152642,0,7,6,85,0,1,999999.0,2,0
868.28,1,1,6.767665282803213,3,2,4,25,0,1,999999.0,0,1
3741.37,6,0,8.227474379551525,5,5,5,0,0,1,999999.0,1,1
3626.61,8,1,8.196329308213125,3,6,2,25,0,1,999999.0,1,1
1466.0,19,0,7.290974778142981,6,3,1,0,0,1,999999.0,1,1
3760.82,8,1,8.232658161826325,1,2,5,25,0,1,999999.0,1,1
1617.04,7,0,7.388970819191719,5,2,6,0,0,1,999999.0,1,1
3962.15,3,0,8.284794442587687,2,6,6,0,0,2,19968.00000915,1,1
3019.73,1,1,8.0132538030132,3,0,6,25,0,1,999999.0,1,1
734.34,8,0,6.600332977287377,4,0,3,0,0,1,999999.0,0,1
3308.7,14,0,8.104612829822472,6,3,3,0,0,1,999999.0,1,1
143313.42,17,1,11.872796236806636,3,7,0,85,0,1,999999.0,2,0
1528.97,15,1,7.333003406351108,1,5,0,25,0,1,999999.0,1,1
2178.85,13,1,7.687011346076352,0,6,3,25,0,1,999999.0,1,1
3498.38,15,0,8.160341088928714,7,3,0,0,0,2,27441.999984416667,1,1
3340.48,11,0,8.114169101597286,6,4,5,0,0,1,999999.0,1,1
50092.23,16,1,10.821641148201593,1,7,3,45,0,1,999999.0,2,2
2713.15,14,0,7.906234107843223,2,5,1,0,0,1,999999.0,1,1
1869.39,5,0,7.533902244253555,5,0,4,0,0,1,999999.0,1,1
3576.74,13,0,8.182486595134323,2,4,6,0,0,1,999999.0,1,1
131861.85,9,1,11.789517646266567,0,7,6,85,0,1,999999.0,2,0
